# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	452
#@/user_id	portable-rime
a 	啊	c=2 d=0.775609 t=452
tan 	談	c=1 d=0.694197 t=452
te 	特	c=3 d=2.67969 t=452
te pai 	特派	c=0 d=0.025924 t=452
tong bu 	同步	c=3 d=2.95581 t=452
tu shan 	禿山	c=1 d=0.946485 t=452
tuo 	托	c=1 d=0.514274 t=452
tuo 	託	c=1 d=0.499074 t=452
wang 	網	c=1 d=0.548812 t=452
wei 	位	c=0 d=0.0759572 t=452
wei lun 	威倫	c=1 d=0.970446 t=452
wen 	文	c=2 d=1.23064 t=452
wen jian 	文件	c=3 d=1.31834 t=452
wen ti 	問題	c=3 d=0.796657 t=452
wo 	我	c=4 d=1.02878 t=452
wo kan 	我看	c=1 d=0.353455 t=452
wo yong de 	我用的	c=1 d=0.173774 t=452
wu 	五	c=2 d=1.34066 t=452
wu shi 	巫師	c=2 d=1.20273 t=452
wu tuo bang 	烏托邦	c=1 d=0.814647 t=452
xi 	悉	c=1 d=0.70822 t=452
xian 	先	c=1 d=0.23457 t=452
xiang 	想	c=1 d=0.337902 t=452
xiao he 	小鶴	c=6 d=1.62786 t=452
xiao lang hao 	小狼毫	c=5 d=1.80521 t=452
xiao peng you 	小朋友	c=1 d=0.453845 t=452
xie 	謝	c=11 d=7.72562 t=452
xie an 	血案	c=-1 d=0 t=452
xie an qi 	謝安琪	c=-1 d=0.634448 t=452
xie an qi 	谢安奇	c=-1 d=0 t=452
xin 	新	c=1 d=0.211189 t=452
xing 	星	c=1 d=0.509156 t=452
xuan xiang 	選項	c=2 d=0.75747 t=452
xue 	學	c=1 d=0.932394 t=452
xue xi 	學習	c=1 d=0.463013 t=452
ye 	也	c=1 d=0.155673 t=452
ye shi 	也是	c=2 d=0.340773 t=452
yi 	一	c=0 d=0.0158817 t=452
yi bu shu 	一部署	c=1 d=0.159614 t=452
yi ge 	一個	c=1 d=0.244143 t=452
yin 	銀	c=1 d=0.477114 t=452
yin he 	銀河	c=2 d=0.684651 t=452
ying wen 	英文	c=5 d=1.79586 t=452
yong 	用	c=2 d=0.732455 t=452
yong de 	用的	c=1 d=0.24607 t=452
yong hu 	用戶	c=1 d=0.286505 t=452
you 	有	c=0 d=0.0431711 t=452
you ren 	有人	c=1 d=0.22313 t=452
you zhong wen 	有中文	c=1 d=0.433874 t=452
yu 	宇	c=1 d=0.522046 t=452
yuan 	園	c=1 d=0.960789 t=452
yuan zhang 	院長	c=1 d=0.941765 t=452
yue 	岳	c=2 d=1.34738 t=452
zai 	在	c=3 d=1.0142 t=452
zen me 	怎麼	c=6 d=2.66382 t=452
zhao 	找	c=1 d=0.339596 t=452
zhao 	昭	c=1 d=0.690734 t=452
zhao 	着	c=1 d=0.348192 t=452
zhe ge 	這個	c=1 d=0.16696 t=452
zhen han 	震撼	c=1 d=0.275271 t=452
zhi 	之	c=1 d=0.268474 t=452
zhi biao 	製表	c=1 d=0.284002 t=452
zhi biao wei 	製表位	c=2 d=1.55791 t=452
zhi cheng 	之城	c=0 d=0.0882497 t=452
zhi dao 	知道	c=1 d=0.224249 t=452
zhi hou 	之後	c=3 d=1.05853 t=452
zhi hu 	知乎	c=2 d=1.24162 t=452
zhi jie 	直接	c=1 d=0.535261 t=452
zhi liao 	治療	c=1 d=0.276651 t=452
zhi neng 	只能	c=2 d=0.813962 t=452
zhi qiao 	之橋	c=2 d=1.87603 t=452
zhong wen 	中文	c=2 d=0.742072 t=452
zhu 	主	c=1 d=0.349938 t=452
zhuan 	轉	c=1 d=0.782705 t=452
zi 	子	c=1 d=0.814647 t=452
zi dian 	字典	c=2 d=1.20101 t=452
zi ding yi 	自定義	c=1 d=0.951229 t=452
zi ku 	字庫	c=1 d=0.249075 t=452
zi liao 	資料	c=1 d=0.33454 t=452
